time,CDK1,PLK1,APC,inact_CDK1,inact_PLK1,inact_APC,a1,a2,a3,b1,b2,b3,K1,K2,K3,n1,n2,n3,default
80,0.4028742141054391,0.5363302504100629,0.5391703567653126,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
81,0.2126670651054861,0.2046618843196603,0.2861165770078005,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
82,0.3117007741610894,0.09094601822388364,0.1053534542588941,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
83,0.4117003019012322,0.1839352128986116,0.0388426012109474,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
84,0.5112004885165019,0.5064753951050793,0.2771366536722113,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
85,0.1889263798266685,0.2980624146213385,0.4136737908309088,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
86,0.2738852043533033,0.1146038269690091,0.1537811973176789,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
87,0.3738766075132709,0.1151510256514454,0.05657733914503282,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
88,0.4738766026918588,0.3803373730870422,0.05410780675672724,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
89,0.2608170363799173,0.4340402674302764,0.54891202583492,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
90,0.2362059557907364,0.1613362482467792,0.2244363461750152,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
91,0.3360523538794185,0.08946762867896901,0.08258267877268183,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
92,0.4360522814907943,0.251821987893071,0.03145199492598308,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
93,0.484903199098689,0.557626389879479,0.4717771286497205,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
94,0.2008666946321785,0.2338845033906916,0.3269621692468859,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
95,0.2982295289590929,0.09662869396647615,0.1205458848571777,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
96,0.3982281992080048,0.1540959950069231,0.04436865228601958,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
97,0.4982210356204948,0.4640159575107713,0.1685390728770876,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
98,0.1961729029861954,0.3409131135707507,0.4667324387928412,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
99,0.2604289135969394,0.128595492310454,0.1759546116378618,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
100,0.3604048475845881,0.1015346220553981,0.06473474124617953,1,1,1,0.1,3,3,3,1,1,0.5,0.5,0.5,8,8,8,1
